lead_day,season,variable,threshold
1,monsoon,rain,4.127178764343263
2,monsoon,rain,3.7708501815795903
3,monsoon,rain,3.565409421920777
4,monsoon,rain,5.043295782804491
5,monsoon,rain,4.351898658275605
6,monsoon,rain,4.704744553565986
7,monsoon,rain,4.284432530403139
8,monsoon,rain,7.809691524505615
9,monsoon,rain,6.771558523178101
10,monsoon,rain,6.574390029907227
1,monsoon,t2m,2.7196472167968744
2,monsoon,t2m,2.9786621093750036
3,monsoon,t2m,2.777288818359379
4,monsoon,t2m,2.9579956054687497
5,monsoon,t2m,3.457373046875
6,monsoon,t2m,2.8913330078125004
7,monsoon,t2m,3.22420654296875
8,monsoon,t2m,3.096069335937501
9,monsoon,t2m,3.155120849609375
10,monsoon,t2m,3.4596008300781262
1,monsoon,msl,1.2786376953125682
2,monsoon,msl,1.5074218750000004
3,monsoon,msl,1.9402954101561594
4,monsoon,msl,2.03941650390625
5,monsoon,msl,2.200354003906364
6,monsoon,msl,2.99782714843757
7,monsoon,msl,2.9977661132810463
8,monsoon,msl,2.4584350585935453
9,monsoon,msl,2.4873779296875003
10,monsoon,msl,3.9672363281250003
