init_date,lead_day,lat,lon,region,bust
2019-06-01,1,8.0,70.0,south,0
2019-06-01,1,8.0,73.0,south,1
2019-06-01,1,8.0,76.0,south,1
2019-06-01,1,8.0,79.0,south,0
2019-06-01,1,8.0,82.0,south,0
2019-06-01,1,8.0,85.0,south,0
2019-06-01,1,8.0,88.0,south,0
2019-06-01,1,8.0,91.0,south,0
2019-06-01,1,8.0,94.0,south,0
2019-06-01,1,11.0,70.0,south,0
2019-06-01,1,11.0,73.0,south,0
2019-06-01,1,11.0,76.0,south,1
2019-06-01,1,11.0,79.0,south,0
2019-06-01,1,11.0,82.0,south,0
2019-06-01,1,11.0,85.0,south,1
2019-06-01,1,11.0,88.0,south,0
2019-06-01,1,11.0,91.0,south,0
2019-06-01,1,11.0,94.0,south,0
2019-06-01,1,14.0,70.0,south,0
2019-06-01,1,14.0,73.0,south,0
2019-06-01,1,14.0,76.0,south,0
2019-06-01,1,14.0,79.0,south,0
2019-06-01,1,14.0,82.0,south,0
2019-06-01,1,14.0,85.0,south,0
2019-06-01,1,14.0,88.0,south,0
2019-06-01,1,14.0,91.0,south,0
2019-06-01,1,14.0,94.0,south,0
2019-06-01,1,17.0,70.0,west,0
2019-06-01,1,17.0,73.0,west,0
2019-06-01,1,17.0,76.0,central,0
2019-06-01,1,17.0,79.0,central,0
2019-06-01,1,17.0,82.0,central,0
2019-06-01,1,17.0,85.0,east,0
2019-06-01,1,17.0,88.0,east,0
2019-06-01,1,17.0,91.0,east,0
2019-06-01,1,17.0,94.0,east,1
2019-06-01,1,20.0,70.0,west,0
2019-06-01,1,20.0,73.0,west,0
2019-06-01,1,20.0,76.0,central,1
2019-06-01,1,20.0,79.0,central,0
2019-06-01,1,20.0,82.0,central,0
2019-06-01,1,20.0,85.0,east,0
2019-06-01,1,20.0,88.0,east,0
2019-06-01,1,20.0,91.0,east,0
2019-06-01,1,20.0,94.0,east,0
2019-06-01,1,23.0,70.0,west,0
2019-06-01,1,23.0,73.0,west,1
2019-06-01,1,23.0,76.0,central,0
2019-06-01,1,23.0,79.0,central,0
2019-06-01,1,23.0,82.0,central,0
2019-06-01,1,23.0,85.0,east,0
2019-06-01,1,23.0,88.0,east,1
2019-06-01,1,23.0,91.0,east,1
2019-06-01,1,23.0,94.0,east,1
2019-06-01,1,26.0,70.0,west,0
2019-06-01,1,26.0,73.0,west,0
2019-06-01,1,26.0,76.0,central,0
2019-06-01,1,26.0,79.0,central,1
2019-06-01,1,26.0,82.0,central,0
2019-06-01,1,26.0,85.0,east,0
2019-06-01,1,26.0,88.0,northeast,0
2019-06-01,1,26.0,91.0,northeast,0
2019-06-01,1,26.0,94.0,northeast,1
2019-06-01,1,29.0,70.0,north,0
2019-06-01,1,29.0,73.0,north,0
2019-06-01,1,29.0,76.0,north,1
